"cause","sex","age","n","rt_upper","rt_lower","rt"
"Lower respiratory infections","Females","5-9 years",30.7117,0.540186,0.157372,0.306331
"Lower respiratory infections","Females","10-14 years",34.7323,0.653332,0.16684,0.360062
"Lower respiratory infections","Females","15-19 years",52.7144,0.890356,0.262385,0.515415
"Lower respiratory infections","Females","20-24 years",83.3545,1.36802,0.426199,0.80678
"Lower respiratory infections","Females","25-29 years",103.882,1.5983,0.555677,1.00765
"Lower respiratory infections","Females","30-34 years",134.148,2.1742,0.744514,1.3591
"Lower respiratory infections","Females","35-39 years",201.96,3.26447,1.18623,2.03911
"Lower respiratory infections","Females","40-44 years",338.855,4.91853,1.97663,3.25883
"Lower respiratory infections","Females","45-49 years",542.853,6.98478,2.99759,4.77499
"Lower respiratory infections","Females","50-54 years",760.576,10.4341,4.17018,6.7809
"Lower respiratory infections","Females","55-59 years",989.406,14.6775,6.3201,9.89016
"Lower respiratory infections","Females","60-64 years",1374.53,22.8519,10.3911,15.878
"Lower respiratory infections","Females","65-69 years",1670.6,37.074,17.5737,25.8282
"Lower respiratory infections","Females","70-74 years",2374.34,66.0744,32.6215,47.432
"Lower respiratory infections","Females","75-79 years",3801.6,130.972,61.9216,91.4343
"Lower respiratory infections","Females","80+ years",33109.2,706.374,299.578,451.514
"Transport injuries","Males","0-6 days",2.96067,10.8973,4.18883,7.02397
"Transport injuries","Males","7-27 days",3.62082,4.78032,1.58851,2.87013
"Transport injuries","Males","28-364 days",61.924,5.23535,1.68729,3.0715
"Transport injuries","Males","1-4 years",373.921,8.11138,2.4844,4.35535
"Transport injuries","Males","5-9 years",329.032,4.82984,2.08587,3.13827
"Transport injuries","Males","10-14 years",452.782,6.26189,3.25302,4.48308
"Transport injuries","Males","15-19 years",3100.52,36.7087,21.5333,28.8918
"Transport injuries","Males","20-24 years",4323.1,51.3149,30.6557,39.689
"Transport injuries","Males","25-29 years",2967.57,37.9757,18.6066,27.1671
"Transport injuries","Males","30-34 years",2109.96,29.1811,12.9746,20.6466
"Transport injuries","Males","35-39 years",1930.59,27.098,12.0717,19.1528
"Transport injuries","Males","40-44 years",2195.11,29.3322,12.7058,21.0077
"Transport injuries","Males","45-49 years",2500.59,32.1129,13.226,22.3987
"Transport injuries","Males","50-54 years",2434.95,31.4077,13.4341,22.5
"Transport injuries","Males","55-59 years",1978.23,29.9313,11.7912,20.9456
"Transport injuries","Males","60-64 years",1735.75,32.3135,12.0197,21.7231
"Transport injuries","Males","65-69 years",1299.45,33.3859,12.1873,22.7317
"Transport injuries","Males","70-74 years",1150.36,41.6074,15.1232,27.555
"Transport injuries","Males","75-79 years",1095.93,51.9161,21.6137,34.7133
"Transport injuries","Males","80+ years",2356.67,100.321,34.1492,56.5273
"Transport injuries","Females","0-6 days",2.8063,11.1224,4.23062,6.98241
"Transport injuries","Females","7-27 days",2.54125,3.50526,1.12428,2.11187
"Transport injuries","Females","28-364 days",51.0274,5.07905,1.22173,2.65267
"Transport injuries","Females","1-4 years",281.557,5.43052,2.02468,3.43471
"Transport injuries","Females","5-9 years",236.117,3.44585,1.51465,2.35513
"Transport injuries","Females","10-14 years",268.939,3.7736,1.96612,2.78803
"Transport injuries","Females","15-19 years",1437.02,16.9176,11.1114,14.0504
"Transport injuries","Females","20-24 years",1235.87,15.2452,8.93799,11.9618
"Transport injuries","Females","25-29 years",837.211,10.9914,5.8156,8.12089
"Transport injuries","Females","30-34 years",693,9.97437,4.87659,7.02104
"Transport injuries","Females","35-39 years",740.453,11.2264,4.95981,7.47606
"Transport injuries","Females","40-44 years",874.963,12.2996,5.56399,8.41467
"Transport injuries","Females","45-49 years",982.906,12.9318,5.20219,8.64576
"Transport injuries","Females","50-54 years",918.987,12.4561,5.18722,8.19322
"Transport injuries","Females","55-59 years",885.277,12.8722,5.57597,8.84928
"Transport injuries","Females","60-64 years",887.513,14.9351,6.52901,10.2522
"Transport injuries","Females","65-69 years",768.478,17.2809,7.6085,11.881
"Transport injuries","Females","70-74 years",747.844,22.7953,9.39713,14.9396
"Transport injuries","Females","75-79 years",781.117,29.8297,11.9985,18.7871
"Transport injuries","Females","80+ years",1947.57,48.5636,15.8814,26.5593
"Hypertensive heart disease","Males","28-364 days",5.97132,0.54203,0.123625,0.296184
